Season,Team,Date,Venue,xG,xGA,npxG,npxGA,PPDA,PPDA_Allowed,DeepCompletions,DeepCompletionsAllowed,GoalsScored,GoalsConceded,Result,Points,ExpectedPoints
2019,Aston Villa,2019-08-10 17:30:00,Away,0.639599,2.57262,0.639599,2.57262,13.421052631578947,5.25,2,15,1,3,l,0,0.2794
2019,Aston Villa,2019-08-17 15:00:00,Home,1.65069,1.62777,1.65069,0.866605,13.0,10.72,12,9,1,2,l,0,1.3698
2019,Aston Villa,2019-08-23 20:00:00,Home,0.855926,1.25668,0.855926,1.25668,13.25,5.407407407407407,6,12,2,0,w,3,0.9697
2019,Aston Villa,2019-08-31 15:00:00,Away,0.30354,1.41394,0.30354,1.41394,9.04,9.0,5,13,0,1,l,0,0.4799
2019,Aston Villa,2019-09-16 19:00:00,Home,1.40502,0.535279,1.40502,0.535279,9.681818181818182,10.090909090909092,4,9,0,0,d,1,2.1614999999999998
2019,Aston Villa,2019-09-22 15:30:00,Away,1.71546,2.53209,1.71546,1.77093,11.0,9.1,8,12,2,3,l,0,0.8444
2019,Aston Villa,2019-09-28 14:00:00,Home,0.914266,1.66919,0.914266,1.66919,6.05,9.045454545454545,3,2,2,2,d,1,0.7663
2019,Aston Villa,2019-10-05 15:00:00,Away,3.67827,1.84838,2.76412,1.84838,8.8,6.041666666666667,9,13,5,1,w,3,2.472
2019,Aston Villa,2019-10-19 15:00:00,Home,2.96692,1.32184,2.96692,1.32184,15.055555555555555,9.523809523809524,7,10,2,1,w,3,2.4098
2019,Aston Villa,2019-10-26 12:30:00,Away,0.980145,3.19004,0.980145,3.19004,26.7,8.083333333333334,3,18,0,3,l,0,0.2449
2019,Aston Villa,2019-11-02 15:00:00,Home,0.741615,2.38824,0.741615,2.38824,20.928571428571427,4.4,2,16,1,2,l,0,0.3756
2019,Aston Villa,2019-11-10 14:00:00,Away,0.473225,2.09891,0.473225,2.09891,6.3,6.59375,0,8,1,2,l,0,0.31610000000000005
2019,Aston Villa,2019-11-25 20:00:00,Home,2.6985,0.69784,2.6985,0.69784,7.333333333333333,17.6,14,3,2,0,w,3,2.6628
2019,Aston Villa,2019-12-01 16:30:00,Away,1.29701,1.84804,1.29701,1.84804,12.0,6.6521739130434785,3,13,2,2,d,1,0.9371999999999999
2019,Aston Villa,2019-12-04 19:30:00,Away,0.86086,1.9774,0.86086,1.9774,13.892857142857142,6.961538461538462,2,14,1,2,l,0,0.6134
2019,Aston Villa,2019-12-08 14:00:00,Home,1.24141,4.03286,1.24141,4.03286,8.666666666666666,4.296296296296297,12,17,1,4,l,0,0.1341
2019,Aston Villa,2019-12-14 15:00:00,Away,0.97258,1.888,0.211411,1.888,10.85,8.0,1,13,0,2,l,0,0.591
2019,Aston Villa,2019-12-21 15:00:00,Home,0.921054,2.63444,0.921054,2.63444,10.4375,12.0,6,5,1,3,l,0,0.3435
2019,Aston Villa,2019-12-26 15:00:00,Home,0.654194,1.45005,0.654194,1.45005,11.521739130434783,9.222222222222221,4,3,1,0,w,3,0.7351000000000001
2019,Aston Villa,2019-12-28 15:00:00,Away,0.610997,3.25314,0.610997,2.49197,16.0,8.76,6,8,0,3,l,0,0.1056
2019,Aston Villa,2020-01-01 12:30:00,Away,1.74824,2.34418,1.74824,2.34418,26.5,7.944444444444445,5,9,2,1,w,3,0.9398
2019,Aston Villa,2020-01-12 16:30:00,Home,1.12565,3.75131,0.364481,3.75131,34.3125,7.633333333333334,1,20,1,6,l,0,0.1611
2019,Aston Villa,2020-01-18 15:00:00,Away,1.02045,1.30028,1.02045,1.30028,10.777777777777779,7.241379310344827,4,7,1,1,d,1,1.0922
2019,Aston Villa,2020-01-21 19:30:00,Home,1.06739,1.81101,1.06739,1.81101,6.173913043478261,9.272727272727273,6,1,2,1,w,3,0.7277
2019,Aston Villa,2020-02-01 15:00:00,Away,1.40955,2.72236,1.40955,2.72236,7.642857142857143,10.0,7,8,1,2,l,0,0.5550999999999999
2019,Aston Villa,2020-02-16 14:00:00,Home,1.71313,3.86024,1.71313,2.95505,9.476190476190476,8.724137931034482,8,9,2,3,l,0,0.3377
2019,Aston Villa,2020-02-22 15:00:00,Away,0.47235,3.02926,0.47235,3.02926,5.92,7.483870967741935,4,7,0,2,l,0,0.1382
2019,Aston Villa,2020-03-09 20:00:00,Away,0.672448,2.41239,0.672448,1.65122,13.217391304347826,5.379310344827586,2,8,0,4,l,0,0.2673
2019,Aston Villa,2020-06-17 17:00:00,Home,1.00877,0.235909,1.00877,0.235909,16.214285714285715,7.925925925925926,5,2,0,0,d,1,2.0802
2019,Aston Villa,2020-06-21 15:15:00,Home,1.57223,1.14011,1.57223,1.14011,22.4,6.125,0,10,1,2,l,0,1.7817
2019,Aston Villa,2020-06-24 17:00:00,Away,1.22985,0.661808,1.22985,0.661808,9.91304347826087,9.470588235294118,8,3,1,1,d,1,1.8679999999999999
2019,Aston Villa,2020-06-27 11:30:00,Home,0.403418,0.703549,0.403418,0.703549,8.73913043478261,16.785714285714285,3,5,0,1,l,0,0.9678
2019,Aston Villa,2020-07-05 15:30:00,Away,0.689775,1.0837,0.689775,1.0837,20.823529411764707,3.7241379310344827,4,11,0,2,l,0,0.9176
2019,Aston Villa,2020-07-09 19:15:00,Home,0.598873,2.86531,0.598873,2.10415,21.235294117647058,8.0,2,13,0,3,l,0,0.15410000000000001
2019,Aston Villa,2020-07-12 13:15:00,Home,1.6977,0.974181,1.6977,0.974181,8.923076923076923,7.45,4,3,2,0,w,3,1.9465999999999999
2019,Aston Villa,2020-07-16 17:00:00,Away,1.52021,0.944434,1.52021,0.944434,12.863636363636363,7.36,6,6,1,1,d,1,1.8509
2019,Aston Villa,2020-07-21 19:15:00,Home,0.57408,0.737137,0.57408,0.737137,18.63157894736842,6.285714285714286,4,6,1,0,w,3,1.1377
2019,Aston Villa,2020-07-26 15:00:00,Away,0.983594,0.781465,0.983594,0.781465,10.636363636363637,7.222222222222222,4,2,1,1,d,1,1.4911
2019,Everton,2019-08-10 15:00:00,Away,1.2246,0.87159,1.2246,0.87159,4.074074074074074,11.307692307692308,5,5,0,0,d,1,1.6257
2019,Everton,2019-08-17 15:00:00,Home,0.832913,1.17279,0.832913,1.17279,8.863636363636363,3.925,4,3,1,0,w,3,1.0150000000000001
2019,Everton,2019-08-23 20:00:00,Away,1.25668,0.855926,1.25668,0.855926,5.407407407407407,13.25,12,6,0,2,l,0,1.7245
2019,Everton,2019-09-01 14:00:00,Home,1.48842,2.00172,1.48842,2.00172,5.333333333333333,20.166666666666668,4,5,3,2,w,3,0.9823999999999999
2019,Everton,2019-09-15 13:00:00,Away,1.50641,1.41542,1.50641,1.41542,5.516129032258065,12.090909090909092,9,3,1,3,l,0,1.4259
2019,Everton,2019-09-21 14:00:00,Home,1.26041,0.508011,1.26041,0.508011,5.647058823529412,13.15,9,2,0,2,l,0,1.9885999999999997
