iter	MultiClass
0	1.074909262
1	1.056922742
2	1.040118971
3	1.026258945
4	1.0134304
5	1.001264843
6	0.9913553573
7	0.9835967041
8	0.9762508739
9	0.9698972372
10	0.9642462332
11	0.95816778
12	0.9544929295
13	0.9504736907
14	0.9465992315
15	0.9431826094
16	0.9408145337
17	0.938502136
18	0.9359673575
19	0.9334637491
20	0.9314781404
21	0.9293524359
22	0.9273496042
23	0.9251543636
24	0.923768507
25	0.9218754863
26	0.919451144
27	0.9173542459
28	0.9162007002
29	0.9146151457
30	0.9134489114
31	0.9121169401
32	0.910358107
33	0.9092286296
34	0.9073527682
35	0.9056334278
36	0.9044610564
37	0.902980967
38	0.9015040416
39	0.8999990143
40	0.8985881288
41	0.8973179436
42	0.8961221279
43	0.8946982972
44	0.8937884784
45	0.8926699583
46	0.8916756611
47	0.8898453014
48	0.8893282788
49	0.8879135336
50	0.8863854189
51	0.8846366026
52	0.8837569402
53	0.8831126874
54	0.8821568348
55	0.8808202762
56	0.8801285959
57	0.8796335427
58	0.8789463197
59	0.8779280765
60	0.8766892827
61	0.8755780673
62	0.8744389209
63	0.8736315657
64	0.871880899
65	0.87070327
66	0.8695380135
67	0.8683181043
68	0.866965333
69	0.8650317951
70	0.8644302592
71	0.8633367902
72	0.8621788003
73	0.8612879028
74	0.860100407
75	0.8594585505
76	0.8583273646
77	0.857268672
78	0.8557736773
79	0.8547883472
80	0.8534942766
81	0.8522235829
82	0.8512297124
83	0.85013337
84	0.8492161465
85	0.8479675164
86	0.8468247617
87	0.8462697743
88	0.844704142
89	0.8439132915
90	0.8432723017
91	0.8417060544
92	0.8408095045
93	0.8393382392
94	0.8381814456
95	0.8376650764
96	0.8365051726
97	0.8354189149
98	0.8344066561
99	0.8333180063
100	0.8320826677
101	0.8313452474
102	0.8299775767
103	0.828866781
104	0.8274583144
105	0.8266454516
106	0.8249280256
107	0.8242049658
108	0.8229484643
109	0.8220800562
110	0.8208820756
111	0.8194108075
112	0.8189341635
113	0.81796597
114	0.8162363087
115	0.8145665757
116	0.8134293874
117	0.8129396722
118	0.8112799067
119	0.8106610593
120	0.8092952673
121	0.8082014758
122	0.80678861
123	0.8048361679
124	0.8035797928
125	0.8027159674
126	0.8012066617
127	0.7996603178
128	0.7986031327
129	0.7972579597
130	0.7958513049
131	0.7945954591
132	0.7934131713
133	0.7926989759
134	0.7914720857
135	0.7910346857
136	0.7904765129
137	0.7896915393
138	0.7882423815
139	0.7864705452
140	0.7842798845
141	0.7829004267
142	0.7808908984
143	0.778978006
144	0.7776098649
145	0.7767186968
146	0.7761622779
147	0.7747948287
148	0.7739995022
149	0.7730247184
150	0.7721629084
151	0.7699604167
152	0.7682543731
153	0.7665567253
154	0.7661494251
155	0.7649877928
156	0.7632606025
157	0.7619820138
158	0.7603015684
159	0.758616346
160	0.7577162489
161	0.7568784669
162	0.7556249051
163	0.7542751196
164	0.7528674619
165	0.7513291968
166	0.7500683851
167	0.7482820353
168	0.7468383457
169	0.7461001039
170	0.7447643314
171	0.7431724907
172	0.7415216087
173	0.7400920261
174	0.7389383468
175	0.7377896617
176	0.736402063
177	0.7353223934
178	0.734781711
179	0.7340032971
180	0.7327768822
181	0.7316576442
182	0.7308389361
183	0.7301950685
184	0.7292867158
185	0.7285332383
186	0.7277842215
187	0.7266556417
188	0.7259925915
189	0.7246336801
190	0.7233105441
191	0.7221919677
192	0.7210868672
193	0.7197971727
194	0.7192506445
195	0.7183997535
196	0.7170982285
197	0.7158771945
198	0.7146839975
199	0.7132224665
200	0.711645985
201	0.7104562595
202	0.7090554857
203	0.7076718968
204	0.7068208287
205	0.7059987122
206	0.7054314038
207	0.7043059515
208	0.7031681101
209	0.7020089394
210	0.7009620738
211	0.6998743783
212	0.6986121133
213	0.6975147556
214	0.696362673
215	0.6952374572
216	0.6938071447
217	0.6930068337
218	0.6919222865
219	0.6915264229
220	0.6901621092
221	0.6890947996
222	0.6883021431
223	0.68748265
224	0.6869058281
225	0.6861367637
226	0.6849794657
227	0.684256399
228	0.6838151619
229	0.6828101884
230	0.6818564031
231	0.6814053953
232	0.6809143558
233	0.6803309466
234	0.6785524397
235	0.6778189908
236	0.6768178552
237	0.6763333845
238	0.6757573984
239	0.6748408376
